pkey,Comment,GoldSentiment,ComprehendSentiment_Label,ComprehendSentiment_Score,CleanText,OriginalKeyphrases,ModifiedKeyphrases,FinalKeyphrases
14,"I would recommend this abc phone to anyone making their first purchase even though it seems flimsy, it's not, and will stand up to abuse, or being moved around often.",positive,positive,0.6735059022903442,i would recommend this abc phone to anyone making their first purchase even though it seems flimsy it s not and will stand up to abuse or being moved around often.,"this abc phone, their first purchase, abuse","abc phone,first purchase,abuse",abuse
15,the abc phone does not show the picture,negative,negative,0.9642327427864075,the abc phone does not show the picture,the abc phone,abc phone,abc phone
16,the picture does not show on the phone,negative,negative,0.9764065146446228,the picture does not show on the phone,the picture,picture,picture
17,The picture is not great on the abc phone,negative,negative,0.9980390667915344,the picture is not great on the abc phone,the picture,picture,picture
18,its not great  if the phone is left running continously  according to them it will only run 14 hours  .,negative,negative,0.9926026463508606,its not great if the phone is left running continously according to them it will only run 14 hours .,"the phone, 14 hours","phone,14 hours",phone
19,I've had other phones from other companies and nothing is even close to abc. The universe of peripherals is large. ,positive,negative,0.5559262037277222,i ve had other phones from other companies and nothing is even close to abc. the universe of peripherals is large. ,"other phones, other companies, the universe, peripherals","phones,companies,universe,peripherals",
20,the abc phone is is not really all that great,negative,negative,0.7693374156951904,the abc phone is is not really all that great,the abc phone,abc phone,abc phone
21,"Regarding the app for my abc phone, why isn't there an option to share a message like you can do everywhere else? It's so annoying! I may as well not even use the app at all. ",negative,negative,0.9996775388717651,regarding the app for my abc phone why isn t there an option to share a message like you can do everywhere else? it s so annoying! i may as well not even use the app at all. ,"the app, my abc phone, an option, a message, the app","app,abc phone,option,message,app",app
21,"Regarding the app for my abc phone, why isn't there an option to share a message like you can do everywhere else? It's so annoying! I may as well not even use the app at all. ",negative,negative,0.9996775388717651,regarding the app for my abc phone why isn t there an option to share a message like you can do everywhere else? it s so annoying! i may as well not even use the app at all. ,"the app, my abc phone, an option, a message, the app","app,abc phone,option,message,app",abc phone
21,"Regarding the app for my abc phone, why isn't there an option to share a message like you can do everywhere else? It's so annoying! I may as well not even use the app at all. ",negative,negative,0.9996775388717651,regarding the app for my abc phone why isn t there an option to share a message like you can do everywhere else? it s so annoying! i may as well not even use the app at all. ,"the app, my abc phone, an option, a message, the app","app,abc phone,option,message,app",message
22,Why can?t I share a message to my abc phone from a laptop? ,neutral,negative,0.7308580875396729,why can?t i share a message to my abc phone from a laptop? ,"a message, my abc phone, a laptop","message,abc phone,laptop",message
22,Why can?t I share a message to my abc phone from a laptop? ,neutral,negative,0.7308580875396729,why can?t i share a message to my abc phone from a laptop? ,"a message, my abc phone, a laptop","message,abc phone,laptop",abc phone
23,The abc phone has lost the ability to use the share feature. ,negative,negative,0.9830941557884216,the abc phone has lost the ability to use the share feature. ,"the abc phone, the ability, the share feature","abc phone,ability,share feature",abc phone
24,Does that happen with the xyz music app too now?,neutral,negative,0.5901579856872559,does that happen with the xyz music app too now?,the xyz music app,xyz music app,xyz music app
25,"I would recommend this abc phone to anyone making thier first purchase even though it seems flimsy, it's not, and will stand up to abuse, or being moved around often.",positive,positive,0.637360692024231,i would recommend this abc phone to anyone making thier first purchase even though it seems flimsy it s not and will stand up to abuse or being moved around often.,"this abc phone, thier first purchase, abuse","abc phone,thier first purchase,abuse",abc phone
25,"I would recommend this abc phone to anyone making thier first purchase even though it seems flimsy, it's not, and will stand up to abuse, or being moved around often.",positive,positive,0.637360692024231,i would recommend this abc phone to anyone making thier first purchase even though it seems flimsy it s not and will stand up to abuse or being moved around often.,"this abc phone, thier first purchase, abuse","abc phone,thier first purchase,abuse",abuse
